Model,Accuracy,F1_macro,F1_micro,F1_weighted,ROC_AUC_macro,ROC_AUC_micro,PR_AUC_macro
LR,0.5454545454545454,0.3311710481392967,0.5454545454545454,0.44945529035662196,0.6374586029202758,0.7235806151890067,0.4628700596026567
RF,0.5384615384615384,0.26218776916451336,0.5384615384615384,0.39202038271805717,0.613792556919657,0.7048999951097854,0.4469440439685513
XGB,0.5594405594405595,0.3160446570972887,0.5594405594405595,0.4418884464817479,0.6041652409070983,0.7106459973592841,0.4532111451544633
DT,0.5454545454545454,0.31129772483155943,0.5454545454545454,0.4332891988394381,0.6038982806589545,0.7009144701452394,0.4029774152841718
ANN,0.5454545454545454,0.3311710481392967,0.5454545454545454,0.44945529035662196,0.5829177221171308,0.6976135752359529,0.42451718893547197
KNN,0.46153846153846156,0.29521016617790813,0.46153846153846156,0.4015544572729323,0.5024408550695455,0.6415228128514843,0.3650743160858423
